Label (Grouping),Households,Households!!With children under 18 years,Households!!No children under 18 years,Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,WORK STATUS!!Families!!2 or more workers in past 12 months,Households (SNAP),Households!!With children under 18 years (SNAP),Households!!No children under 18 years (SNAP),Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level (SNAP),WORK STATUS!!Families!!2 or more workers in past 12 months (SNAP)
Baker,1280,443,837,538,202,6927,1708,5219,1016,1833
Benton,4082,1384,2698,1967,607,35056,8243,26813,6608,10830
Clackamas,16694,7679,9015,6120,3839,155456,48538,106918,12951,59464
Catsop,2561,1050,1511,792,695,15910,3885,12025,1639,4849
Columbia,3539,1505,2034,1415,618,19296,5732,13564,2227,5965
Coos,6578,2399,4179,2911,1045,26640,6397,20243,4514,6652
Crook,2152,834,1318,866,494,9339,2231,7108,1344,2505
Curry,1651,423,1228,652,220,10440,1691,8749,1492,2062
Deschutes,9844,4405,5439,3648,2885,72471,20030,52441,7711,25659
Douglas,9534,3927,5607,3998,1772,45026,10956,34070,6475,11699
Gilliam,141,35,106,64,0,848,215,633,111,212
Grant,606,235,371,235,121,3294,628,2666,522,932
Harney,679,259,420,223,146,3157,816,2341,443,1025
Hood River,941,506,435,270,438,8539,2644,5895,633,3560
Jackson,16766,7214,9552,7255,3400,87417,24161,63256,13093,25405
Jefferson,2164,824,1340,889,441,7892,2191,5701,1187,2290
Josephine,8051,3028,5023,3910,1636,35978,8770,27208,6385,9193
Klamath,6890,2984,3906,3225,1242,27402,7690,19712,5109,6901
Lake,671,233,438,443,90,3494,824,2670,667,857
Lane,30312,11024,19288,13546,5695,150780,38090,112690,26395,42033
Lincoln,4561,1463,3098,1868,634,21110,4073,17037,3247,4742
Linn,9517,4247,5270,4077,1953,47030,14063,32967,6625,14722
Malheur,2914,1634,1280,1316,689,10138,3334,6804,2129,3365
Marion,22586,12091,10495,8638,6113,116861,39027,77834,15181,41260
Morrow ,687,434,253,311,138,3959,1523,2436,560,1482
Multnomah,55018,21055,33963,24870,10416,321968,85687,236281,45761,101016
Polk,4992,2311,2681,2041,1362,29692,9199,20493,4045,10334
Sherman,105,39,66,35,22,736,141,595,97,200
Tillamook,2015,765,1250,759,301,10816,2527,8289,1361,2507
Umatilla,6246,3232,3014,2991,1625,26886,9518,17368,4659,9485
Union,2022,1054,968,938,321,10481,3146,7335,1710,3119
Wallowa,587,258,329,318,101,3165,716,2449,465,932
Wasco,2115,935,1180,837,457,10266,2970,7296,1307,2992
Washington,22213,11419,10794,7884,6737,216507,73982,142525,18521,84943
Wheeler,121,27,94,50,11,661,113,548,106,137
Yamhill,6164,3390,2774,2620,1763,36197,11484,24713,4671,13248
Oregon,266999,114745,152254,112520,58229,1591835,456943,1134892,210967,518410
