Country,NAME,Product,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Column1,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020E
AUSTRALI,Australia,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRIA,Austria,NATGAS,0.8257,0.7515,0.764,0.7507,0.6464,0.7658,0.7113,0.6854,0.688,0.6434,0.6434,0.6001,0.6185,0.6861,0.6763,0.7032,0.6645,0.6522,0.6277,0.8088,0.7948,0.9074,0.9954,0.7573,0,0,0,0,0,0,0
BELGIUM,Belgium,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226,0.0493,0.0402,0.0452,0.049,0.0279,0.0234,0,0,0,0,0,0,0,0.0186,0.1019,0.0786
BULGARIA,Bulgaria,NATGAS,1.0064,0.9741,0.9987,0.9933,0.9786,0.9953,1.0115,1.0411,0.9971,1.0262,0.9354,0.9974,1.04,0.9425,0.9583,0.8765,0.8994,0.9146,0.9623,0.9862,0.9264,0.8609,0.8334,0.9283,0.9413,0.9708,0.9654,0.9858,0.9901,0.7992,0.7348
CANADA,Canada,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILE,Chile,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,Colombia,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSTARICA,Costarica,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROATIA,Croatia,NATGAS,0.2621,0.3211,0.2796,0.2901,0.29,0.1157,0.3313,0.3801,0.4175,0.4137,0.4096,0.3822,0.3737,0.3948,0.3501,0.3909,0.3914,0.3191,0.3379,0.338,0.3224,0,0,0,0,0,0,0,0,0,0
CYPRUS,Cyprus,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZECH,Czech,NATGAS,0.9119,1.0877,0.9431,0.9572,0.9907,0.9796,1.0014,0.9011,0.8743,0.7876,0.7818,0.7251,0.7449,0.7275,0.6768,0.7508,0.7821,0.7411,0.7533,0.6824,0.7572,1.0887,0.8905,1.0026,0.87,0.9491,0.9568,1.0103,0.9636,1.0946,0.8604
DENMARK,Denmark,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTONIA,Estonia,NATGAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0433,0.4634
FINLAND,Finland,NATGAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0002,1.0001,1.0001,1.0003,0.9913,0.9812,0.9792,0.6776
FRANCE,France,NATGAS,0.3238,0.3176,0.3371,0.3146,0.3485,0.3501,0.3014,0.2778,0.2576,0.3043,0.289,0.2372,0.2424,0.2256,0.2061,0.1981,0.1585,0.1329,0.1459,0.1556,0.1399,0.1639,0.1764,0.2176,0.1766,0.1459,0.2202,0.2116,0.2391,0.2543,0.1998
